Date,Company,Price
2025-10-10,Safaricom,19.50
2025-10-11,Safaricom,19.70
2025-10-12,Safaricom,19.80
2025-10-13,Safaricom,20.10
2025-10-14,Safaricom,20.25
2025-10-10,KCB Group,42.30
2025-10-11,KCB Group,42.10
2025-10-12,KCB Group,41.90
2025-10-13,KCB Group,42.60
2025-10-14,KCB Group,43.00
2025-10-10,Equity Group,38.00
2025-10-11,Equity Group,38.20
2025-10-12,Equity Group,38.50
2025-10-13,Equity Group,39.10
2025-10-14,Equity Group,39.80
2025-10-10,Cooperative Bank,13.60
2025-10-11,Cooperative Bank,13.70
2025-10-12,Cooperative Bank,13.90
2025-10-13,Cooperative Bank,14.10
2025-10-14,Cooperative Bank,14.40
2025-10-10,NCBA Group,38.50
2025-10-11,NCBA Group,38.60
2025-10-12,NCBA Group,38.40
2025-10-13,NCBA Group,38.80
2025-10-14,NCBA Group,39.00
